gene_symbol,chromosome,clinical_significance,disease,inheritance_pattern,allele_frequency
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.005843806
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.002506504
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.001780664
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.035349639
DMD,chrX,Uncertain,Becker Muscular Dystrophy,germline,0.009737215
DMD,chrX,Uncertain,Dilated Cardiomyopathy 3B,germline,0.000542577
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,7.15e-05
DMD,chrX,Uncertain,Becker Muscular Dystrophy,germline,0.000499605
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.015072698
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,unknown,5.5e-05
HEXA,chr15,Uncertain,Tay-Sachs Disease,germline,0.037051132
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.006872948
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.029819716
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.000618032
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.007309428
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.01235568
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.010440413
HEXA,chr15,Uncertain,Tay-Sachs Disease,germline,0.000691815
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.038841194
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.006191774
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.004319654
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.104036952
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,5.63e-07
HEXA,chr15,Benign,Tay-Sachs Disease,germline,0.092027287
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.141733473
DMD,chrX,Uncertain,Becker Muscular Dystrophy,germline,0.003565075
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,2.27e-05
CFTR,chr7,Pathogenic,Cystic Fibrosis,germline,0.054394562
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.029769496
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.003857104
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.022137416
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.018616858
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.006815424
HEXA,chr15,Uncertain,Tay-Sachs Disease,germline,0.001751709
HEXA,chr15,Benign,Tay-Sachs Disease,germline,0.067874511
CFTR,chr7,Pathogenic,Cystic Fibrosis,germline,0.018136808
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.008930829
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.000131549
DMD,chrX,Pathogenic,Becker Muscular Dystrophy,germline,0.000564381
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.012481047
DMD,chrX,Pathogenic,Primary Dilated Cardiomyopathy,germline,0.008664391
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.005259672
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.018117233
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.003563307
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.003103253
DMD,chrX,Uncertain,Becker Muscular Dystrophy,germline,0.051557378
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.016705242
CFTR,chr7,Pathogenic,Cystic Fibrosis,germline,7.65e-05
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.010545095
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.000738331
CFTR,chr7,Pathogenic,Cystic Fibrosis,germline,0.001394607
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.022060509
DMD,chrX,Benign,Cardiovascular Phenotype,germline,7.88e-05
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.005166715
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.071251782
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.007028946
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.028545065
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,2.09e-06
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.001679685
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.056825811
CFTR,chr7,Unknown,Cystic Fibrosis,germline,0.026621319
CFTR,chr7,Pathogenic,Cystic Fibrosis,unknown,0.009680893
DMD,chrX,Uncertain,Becker Muscular Dystrophy,germline,0.01171936
CFTR,chr7,Pathogenic,Cystic Fibrosis,germline,2.25e-07
DMD,chrX,Uncertain,Becker Muscular Dystrophy,germline,0.006489079
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.002043066
CFTR,chr7,Pathogenic,Cystic Fibrosis,germline,0.025053823
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.03130292
CFTR,chr7,Pathogenic,Cystic Fibrosis,germline,0.000540617
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.093605056
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.022859671
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.001103127
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.038699566
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.059321179
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.04230447
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.078451155
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.055297852
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.019903879
HEXA,chr15,Pathogenic,Tay-Sachs Disease,germline,0.004123811
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.087825826
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.000814594
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.00095602
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.008014327
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,6.3e-05
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.029651999
CFTR,chr7,Pathogenic,Cystic Fibrosis,germline,0.000542601
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.042275742
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.001757278
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.009765255
DMD,chrX,Pathogenic,Dilated Cardiomyopathy 3B,germline,0.051496991
DMD,chrX,Uncertain,Becker Muscular Dystrophy,germline,0.079613006
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.055974677
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.02029298
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.086887611
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,1.16e-05
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.079793668
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.013376169
HEXA,chr15,Benign,Tay-Sachs Disease,germline,0.005968071
HEXA,chr15,Pathogenic,Tay-Sachs Disease,germline,0.043347166
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.023953932
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.008523899
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.029193965
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.006807302
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.003911453
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.004230618
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.030472388
DMD,chrX,Uncertain,Becker Muscular Dystrophy,germline,0.008629465
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.020065652
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.033664389
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.016189861
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.011937741
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.001171425
CFTR,chr7,Pathogenic,Cystic Fibrosis,germline,0.009456562
HEXA,chr15,Benign,Tay-Sachs Disease,germline,0.006343218
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.009910873
CFTR,chr7,Pathogenic,Cystic Fibrosis,germline,0.021662082
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.009754389
DMD,chrX,Uncertain,Becker Muscular Dystrophy,germline,1.31e-05
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.000272647
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.0147448
CFTR,chr7,Pathogenic,Bronchiectasis With Or Without Elevated Sweat Chloride 1,germline,0.028662097
HEXA,chr15,Benign,Tay-Sachs Disease,germline,0.00963497
DMD,chrX,Benign,Dystrophin Deficiency,germline,0.002140284
HEXA,chr15,Benign,Tay-Sachs Disease,germline,0.005831602
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.00120918
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.000195523
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.013440031
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.004176138
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.020905583
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.011508047
DMD,chrX,Pathogenic,Cardiovascular Phenotype,germline,0.00020589
HEXA,chr15,Benign,"Beta-Hexosaminidase A, Pseudodeficiency Of",germline,0.002342978
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.021123616
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.033416458
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.000908722
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.022380283
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.016811891
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.012283345
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.006989257
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.142206374
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.010778073
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.00157049
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.043086706
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.007091186
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.046849654
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.06210322
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.005601662
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.032378009
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,4.88e-06
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.000102251
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.051198276
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.100883441
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.002088724
CFTR,chr7,Pathogenic,Cystic Fibrosis,germline,0.015887487
CFTR,chr7,Pathogenic,Cystic Fibrosis,germline,0.008280139
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.03081402
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.023827167
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.001009893
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.021805097
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.002135354
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.018941706
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.01936337
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.000532042
DMD,chrX,Uncertain,Cardiovascular Phenotype,germline,0.000293802
DMD,chrX,Uncertain,Becker Muscular Dystrophy,germline,2.54e-08
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.001114564
CFTR,chr7,Unknown,Cystic Fibrosis,germline,0.005430796
HEXA,chr15,Pathogenic,Tay-Sachs Disease,unknown,0.037927802
HEXA,chr15,Uncertain,Tay-Sachs Disease,germline,0.000205986
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.006090498
DMD,chrX,Uncertain,Becker Muscular Dystrophy,germline,0.007089298
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.000179145
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.00047993
HEXA,chr15,Benign,Tay-Sachs Disease,germline,0.031542104
CFTR,chr7,Pathogenic,Cystic Fibrosis,unknown,0.031977288
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,7.36e-05
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.018766964
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.058779337
HEXA,chr15,Uncertain,Tay-Sachs Disease,germline,0.023690507
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.007046387
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.021816839
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.00338484
CFTR,chr7,Pathogenic,Cystic Fibrosis,germline,0.055709706
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.010018071
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.082759442
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.018220278
DMD,chrX,Uncertain,Becker Muscular Dystrophy,germline,0.030121036
CFTR,chr7,Pathogenic,Cystic Fibrosis,germline,0.080468547
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.007643793
HEXA,chr15,Benign,Tay-Sachs Disease,germline,0.042008004
CFTR,chr7,Pathogenic,Cystic Fibrosis,germline,0.09292173
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.064216477
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.017231058
CFTR,chr7,Pathogenic,Cystic Fibrosis,germline,0.010919271
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.004492699
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.117463317
CFTR,chr7,Pathogenic,Cystic Fibrosis,germline,0.004318648
HEXA,chr15,Pathogenic,Tay-Sachs Disease,germline,0.000225805
HEXA,chr15,Pathogenic,Tay-Sachs Disease,germline,0.013946943
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,7.69e-05
HEXA,chr15,Pathogenic,Tay-Sachs Disease,germline,7.05e-06
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,6.51e-05
HEXA,chr15,Benign,Tay-Sachs Disease,germline,0.016624196
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.013373027
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,2.56e-05
HEXA,chr15,Benign,Tay-Sachs Disease,germline,0.062482913
CFTR,chr7,Pathogenic,Cystic Fibrosis,germline,0.006629811
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.081244415
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.001412316
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.003724264
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.000516362
HEXA,chr15,Benign,Tay-Sachs Disease,germline,0.002675523
DMD,chrX,Benign,Becker Muscular Dystrophy,germline,0.01999613
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.001503059
HEXA,chr15,Benign,Inborn Genetic Diseases,germline,0.006324254
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.009681721
HEXA,chr15,Uncertain,Tay-Sachs Disease,germline,1.71e-05
HEXA,chr15,Benign,Tay-Sachs Disease,germline,0.000323266
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.048176823
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.001397102
HEXA,chr15,Benign,Tay-Sachs Disease,germline,0.002399761
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.012268609
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.045305885
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.149088248
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.112410332
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.002891274
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.005682233
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.025203225
HEXA,chr15,Pathogenic,Tay-Sachs Disease,germline,0.003151647
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,7.69e-10
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.006528854
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,2.31e-05
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,1.51e-05
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,4.54e-05
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.00015042
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.028206174
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.042289087
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.003937413
CFTR,chr7,Pathogenic,Cftr-Related Disorder,germline,0.000255495
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.009849061
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.001233298
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.037592284
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.029507236
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.004456697
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.038120382
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.056393086
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.000203084
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.108742053
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.011474899
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.013209784
HEXA,chr15,Pathogenic,Tay-Sachs Disease,germline,0.003122594
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.000256457
HEXA,chr15,Benign,Tay-Sachs Disease,germline,0.00079497
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.008154855
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.038444647
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.05156146
CFTR,chr7,Pathogenic,Cystic Fibrosis,unknown,0.060790055
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.044923795
HEXA,chr15,Uncertain,Tay-Sachs Disease,germline,0.039962962
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.045695711
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.05108172
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.000945603
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.035244774
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.019965904
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.011487537
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.073785524
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.046643234
HEXA,chr15,Benign,Tay-Sachs Disease,germline,0.000393449
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.096358454
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.023587144
CFTR,chr7,Pathogenic,Cystic Fibrosis,germline,0.072453378
CFTR,chr7,Pathogenic,Cystic Fibrosis,germline,0.001763765
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.013347314
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.006226319
CFTR,chr7,Unknown,Cystic Fibrosis,germline,0.015656088
DMD,chrX,Uncertain,Becker Muscular Dystrophy,germline,0.017792479
CFTR,chr7,Pathogenic,Cystic Fibrosis,germline,0.004131929
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.00828647
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.009296435
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.004731429
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.077354035
DMD,chrX,Uncertain,Becker Muscular Dystrophy,germline,0.010909278
DMD,chrX,Uncertain,Becker Muscular Dystrophy,germline,0.066874062
CFTR,chr7,Pathogenic,Cystic Fibrosis,germline,0.000155094
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.044444543
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.012526217
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.038876262
CFTR,chr7,Unknown,Cystic Fibrosis,germline,0.000144758
HEXA,chr15,Benign,Tay-Sachs Disease,germline,0.073455516
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.010101776
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.0330325
CFTR,chr7,Pathogenic,Cystic Fibrosis,germline,0.009933641
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.001627977
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.015831699
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.014263762
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.001771156
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.000491525
CFTR,chr7,Pathogenic,Cystic Fibrosis,germline,0.042284454
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,1.77e-05
HEXA,chr15,Benign,Tay-Sachs Disease,germline,0.020590693
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.001761109
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.002954332
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.01133011
CFTR,chr7,Pathogenic,Cystic Fibrosis,germline,0.001208053
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,7.58e-05
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.011776531
DMD,chrX,Uncertain,Primary Dilated Cardiomyopathy,germline,0.012673305
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.000838012
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.077410708
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.01690586
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.051283739
CFTR,chr7,Pathogenic,Cystic Fibrosis,germline,0.002451667
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.004818592
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.001605645
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.003084855
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.054119167
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.002398721
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,8.78e-05
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.03874783
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.008730008
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.006038025
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.007307918
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.007762132
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.022959118
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.026745015
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.027422464
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.005063939
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.000760812
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.051534818
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.006214808
CFTR,chr7,Pathogenic,Cystic Fibrosis,germline,0.11958283
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.071549941
DMD,chrX,Uncertain,Becker Muscular Dystrophy,germline,0.071111537
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.008942092
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.042526243
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.003012094
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.001532072
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.015405416
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.003727719
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.040450127
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.005770934
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.061896788
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.023497314
CFTR,chr7,Pathogenic,Cystic Fibrosis,germline,0.016720563
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.009360984
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.002306534
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.013793758
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.017546589
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.005940253
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.003114694
CFTR,chr7,Uncertain,Cystic Fibrosis,unknown,0.035752597
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.057788115
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.012904324
CFTR,chr7,Pathogenic,Cystic Fibrosis,unknown,0.08426127
HEXA,chr15,Benign,Tay-Sachs Disease,germline,3.91e-05
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.006332307
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.12740889
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.001464879
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.005581556
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.098819938
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.024133541
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.067307389
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.028218219
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.00220539
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.014792475
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.003018343
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.020883959
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.00179118
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.022091424
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.022593167
DMD,chrX,Uncertain,Becker Muscular Dystrophy,germline,0.000204157
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.007457524
DMD,chrX,Uncertain,Becker Muscular Dystrophy,germline,0.005445353
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.000851893
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.027768562
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.004210405
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.053294918
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.060697451
DMD,chrX,Uncertain,Becker Muscular Dystrophy,germline,0.023615146
